Reevaluate after: 22002 steps, with return 89.90797882348701
Reevaluate after: 22053 steps, with return 87.89385454357111
Reevaluate after: 22104 steps, with return 89.14144269662793
Reevaluate after: 22155 steps, with return 91.62785045444994
Reevaluate after: 22206 steps, with return 90.16315837950448
Reevaluate after: 22257 steps, with return 91.13866325603905
Reevaluate after: 22308 steps, with return 89.69193738768264
Reevaluate after: 22359 steps, with return 91.42353810639798
Reevaluate after: 22410 steps, with return 90.34984430739347
Reevaluate after: 22461 steps, with return 92.13574994313606
Reevaluate after: 22512 steps, with return 91.00955073420855
Reevaluate after: 22563 steps, with return 88.46515440378255
Reevaluate after: 22614 steps, with return 91.72911922473807
Reevaluate after: 22665 steps, with return 91.12370238730645
Reevaluate after: 22716 steps, with return 89.89657303172298
Reevaluate after: 22767 steps, with return 92.09662392243975
Reevaluate after: 22818 steps, with return 91.0250288808955
Reevaluate after: 22869 steps, with return 91.18154300215812
Reevaluate after: 22920 steps, with return 91.80577673132326
Reevaluate after: 22971 steps, with return 91.91926208257381
Reevaluate after: 23022 steps, with return 91.75334235559039
Reevaluate after: 23073 steps, with return 88.12906818079367
Reevaluate after: 23124 steps, with return 89.43408207296463
Reevaluate after: 23175 steps, with return 89.96999451796562
Reevaluate after: 23226 steps, with return 91.15350317145135
Reevaluate after: 23277 steps, with return 91.32958461876578
Reevaluate after: 23328 steps, with return 91.6185655826285
Reevaluate after: 23379 steps, with return 91.895601442886
Reevaluate after: 23430 steps, with return 91.22969779946769
Reevaluate after: 23481 steps, with return 89.45177369228693
Reevaluate after: 23532 steps, with return 90.59544458656252
Reevaluate after: 23583 steps, with return 92.18478122765059
Reevaluate after: 23634 steps, with return 88.99079603810455
Reevaluate after: 23685 steps, with return 91.18842372644089
Reevaluate after: 23736 steps, with return 91.66916792004945
Reevaluate after: 23787 steps, with return 88.17014405651511
Reevaluate after: 23838 steps, with return 90.99470069411271
Reevaluate after: 23889 steps, with return 89.75509528731901
Reevaluate after: 23940 steps, with return 90.14645253318778
Reevaluate after: 23991 steps, with return 91.94666578163934
Reevaluate after: 24042 steps, with return 90.98597957379341
Reevaluate after: 24093 steps, with return 90.59403678573662
Reevaluate after: 24144 steps, with return 89.97945827048581
Reevaluate after: 24195 steps, with return 89.94996225878126
Reevaluate after: 24246 steps, with return 91.59196052009096
Reevaluate after: 24297 steps, with return 91.96515221657982
Reevaluate after: 24348 steps, with return 91.62053465136826
Reevaluate after: 24399 steps, with return 91.54936900171155
Reevaluate after: 24450 steps, with return 91.58390042304816
Reevaluate after: 24501 steps, with return 89.1492140123194
Reevaluate after: 24552 steps, with return 89.94382983607943
Reevaluate after: 24603 steps, with return 89.04604692821867
Reevaluate after: 24654 steps, with return 87.47136904759542
Reevaluate after: 24705 steps, with return 91.17973288816333
Reevaluate after: 24756 steps, with return 90.34162335553734
Reevaluate after: 24807 steps, with return 91.53279637594642
Reevaluate after: 24858 steps, with return 91.9443810710911
Reevaluate after: 24909 steps, with return 91.70618386704727
Reevaluate after: 24960 steps, with return 90.53658623894555
Total steps done: 25000
